TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
173.077333333,-159.585,12.245,-2.01939,1.7007,6.24871,-0.0923896,-3.17079,0.660348,1.94882,1.45057,-0.927218,-0.823386,2.58273,1.34388,1.7842,3.28435,1.19918,1.40651,1.99565,1.00686,0.726128
173.098666667,-155.214,9.74704,-0.0846549,4.08057,5.3298,2.70311,0.785124,-0.0547914,0.552528,0.369224,0.406854,0.909915,4.16266,0.0269906,0.264896,2.81605,3.3585,3.68654,1.89302,1.03643,0.366878
173.120000000,-153.405,7.96451,-3.4641,-0.0377954,2.6419,3.40891,-0.421502,1.15571,3.029,0.0882478,0.0849314,-2.12736,0.502484,-0.481416,-0.576569,1.78683,0.847671,1.90768,0.0976752,-3.03754,-2.10544
173.141333333,-147.964,8.10615,-0.592455,4.25594,3.93037,4.36471,1.09521,1.65573,0.327865,-0.41221,-0.347554,-0.388198,2.61871,2.21918,2.0466,4.35987,1.07807,1.40668,1.26467,0.228199,-0.934
173.162666667,-130.31,6.73408,2.03046,4.96714,4.98794,1.1089,1.36645,1.6457,-2.12722,-0.379331,-1.54754,-3.58529,0.330198,-1.06628,-1.80262,-0.830517,-0.551063,0.000417142,-0.898021,-0.708245,-0.325802
173.184000000,-131.128,-3.41866,-0.555371,2.17476,1.87631,-1.14046,-1.42542,-2.22327,1.6258,0.340574,-0.772682,-0.911753,0.296678,-1.30116,-0.85437,-1.02356,-1.21621,-0.501482,-1.63816,-0.485826,-0.260601
173.205333333,-135.406,-0.987062,3.27406,3.29325,0.352018,0.824528,0.441109,-2.14345,0.369971,0.234608,1.67265,0.762802,1.35412,-1.82335,-1.30603,0.50779,-0.0215881,0.465666,-1.05622,0.122794,-1.69041
173.226666667,-140.756,-0.852778,1.01222,4.32039,3.87387,2.07136,0.0686085,0.736973,1.43838,0.755138,-0.340085,0.600751,2.24028,0.761752,0.683301,1.63733,1.33849,4.00287,1.24893,0.593948,0.702439
173.248000000,-144.559,2.05615,0.308262,0.905411,1.21955,0.251765,0.567176,-2.44698,0.767029,3.10704,0.859931,0.404651,2.42213,1.76985,1.65916,0.481735,-0.0260551,1.26616,-1.33875,-1.81213,-1.47093
173.269333333,-144.296,4.2382,7.89325,5.3773,3.25523,0.493667,-0.925526,-1.49167,2.28991,1.56064,-0.696868,-0.661587,1.47216,1.26795,-0.110307,1.93409,-0.86671,2.70125,1.36731,0.872043,0.494664
